word_index byte_offset role scale_lane weight_col lane_base tdata_hex software_expected_tlast
088 0352 weight - 18 0 0x00ff0213 0
089 0356 weight - 18 4 0x00000000 0
090 0360 weight - 18 8 0x00000000 0
091 0364 weight - 18 12 0x00000000 0
092 0368 weight - 19 0 0x0002fe14 0
093 0372 weight - 19 4 0x00000000 0
094 0376 weight - 19 8 0x00000000 0
095 0380 weight - 19 12 0x00000000 0
096 0384 weight - 20 0 0x00fe0215 0
097 0388 weight - 20 4 0x00000000 0
098 0392 weight - 20 8 0x00000000 0
099 0396 weight - 20 12 0x00000000 0
100 0400 weight - 21 0 0x0003fe16 0
101 0404 weight - 21 4 0x00000000 0
102 0408 weight - 21 8 0x00000000 0
103 0412 weight - 21 12 0x00000000 0
104 0416 weight - 22 0 0x00fd0217 0
105 0420 weight - 22 4 0x00000000 0
106 0424 weight - 22 8 0x00000000 0
107 0428 weight - 22 12 0x00000000 0
108 0432 weight - 23 0 0x0004fe18 0
109 0436 weight - 23 4 0x00000000 0
110 0440 weight - 23 8 0x00000000 0
111 0444 weight - 23 12 0x00000000 0
112 0448 weight - 24 0 0x00000219 0
113 0452 weight - 24 4 0x00000000 0
114 0456 weight - 24 8 0x00000000 0
115 0460 weight - 24 12 0x00000000 0
116 0464 weight - 25 0 0x0001fe1a 0
117 0468 weight - 25 4 0x00000000 0
118 0472 weight - 25 8 0x00000000 0
119 0476 weight - 25 12 0x00000000 0
120 0480 weight - 26 0 0x00ff021b 0
121 0484 weight - 26 4 0x00000000 0
122 0488 weight - 26 8 0x00000000 0
123 0492 weight - 26 12 0x00000000 0
124 0496 weight - 27 0 0x0002fe1c 0
125 0500 weight - 27 4 0x00000000 0
126 0504 weight - 27 8 0x00000000 0
127 0508 weight - 27 12 0x00000000 0
128 0512 weight - 28 0 0x00fe021d 0
129 0516 weight - 28 4 0x00000000 0
130 0520 weight - 28 8 0x00000000 0
131 0524 weight - 28 12 0x00000000 0
132 0528 weight - 29 0 0x0003fe1e 0
133 0532 weight - 29 4 0x00000000 0
134 0536 weight - 29 8 0x00000000 0
135 0540 weight - 29 12 0x00000000 0
136 0544 weight - 30 0 0x00fd021f 0
137 0548 weight - 30 4 0x00000000 0
138 0552 weight - 30 8 0x00000000 0
139 0556 weight - 30 12 0x00000000 0
140 0560 weight - 31 0 0x0004fe20 0
141 0564 weight - 31 4 0x00000000 0
142 0568 weight - 31 8 0x00000000 0
143 0572 weight - 31 12 0x00000000 1
