tensor_name,target,in_features,out_features,blocks_per_row,row_groups,rowgroup_packet_bytes,current_dma_limit_ok,needs_chunking,required_btt_width_bits
blk.4.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.4.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.4.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.4.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.4.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.4.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.4.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.5.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.5.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.5.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.5.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.5.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.5.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.5.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.6.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.6.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.6.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.6.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.6.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.6.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.6.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.7.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.7.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.7.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.7.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.7.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.7.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.7.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.8.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.8.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.8.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.8.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.8.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.8.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.8.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.9.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.9.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.9.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.9.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.9.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.9.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.9.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.10.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.10.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.10.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.10.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.10.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.10.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.10.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.11.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.11.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.11.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.11.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.11.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.11.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.11.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.12.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.12.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.12.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.12.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.12.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.12.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.12.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.13.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.13.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.13.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.13.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.13.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.13.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.13.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.14.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.14.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.14.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.14.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.14.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.14.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.14.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.15.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.15.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.15.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.15.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.15.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.15.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.15.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.16.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.16.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.16.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.16.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.16.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.16.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.16.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.17.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.17.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.17.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.17.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.17.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.17.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.17.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.18.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.18.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.18.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.18.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.18.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.18.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.18.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.19.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.19.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.19.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.19.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.19.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.19.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.19.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.20.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.20.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.20.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.20.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.20.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.20.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.20.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.21.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.21.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.21.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.21.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.21.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.21.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.21.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.22.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.22.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.22.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.22.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.22.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.22.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.22.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.23.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.23.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.23.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.23.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.23.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.23.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.23.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.24.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.24.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.24.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.24.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.24.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.24.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.24.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.25.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.25.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.25.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.25.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.25.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.25.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.25.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.26.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.26.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.26.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.26.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.26.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.26.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.26.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.27.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.27.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.27.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.27.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.27.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.27.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.27.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.28.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.28.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.28.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.28.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.28.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.28.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.28.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.29.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.29.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.29.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.29.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.29.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.29.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.29.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
token_embd.weight,lm_head,576,49152,18,3072,10368,true,false,14
